epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1
1,0.1899890525940487,0.9259435647100845,0.925998845865116,0.9258452151985928,0.9259068359564029,0.9259368867548696,0.08771182776049391,0.9694614103275958,0.9700498335174899,0.9691800087343355,0.9694274785717658,0.9694472720959999
2,0.08407666523961818,0.9705917371115609,0.9706167002922945,0.9705494310022922,0.9705799662956708,0.9705906861458564,0.07365385418454509,0.9772348695169351,0.9773238306799951,0.9771507067656557,0.9772224821914242,0.9772328049626832
3,0.0612600215027981,0.978687939040362,0.9787059828873647,0.978656998874869,0.9786798102935201,0.9786873938195372,0.12006055751049186,0.9561354802887285,0.9574418662119752,0.956734197391049,0.956128933985422,0.95611851941198
4,0.047432824960088237,0.9835694725562567,0.9835819909170634,0.9835466616237325,0.9835634329628142,0.9835691724522347,0.09292086155375409,0.9677956690727374,0.9680734929504495,0.9681289276752603,0.9677955797153279,0.9677966222184379
5,0.04047216871296046,0.9863078937968806,0.9863013255738765,0.9863055183146314,0.9863034079490844,0.986307923309037,0.09493966540863845,0.9722376457523598,0.972297997237569,0.9724646370439456,0.9722361991865407,0.972240093786823
6,0.044364512023159615,0.984998214073104,0.98500646151448,0.9849802166177688,0.9849928358635649,0.9849980111218005,0.11014427330560086,0.9672404219877846,0.9672050968927703,0.967260428771987,0.9672300765718131,0.9672413918705318
7,0.028033032762771578,0.9897606857959281,0.9897572868621053,0.9897572868621053,0.9897572868621053,0.9897606857959281,0.14422480832974685,0.968906163242643,0.9698873365600658,0.9685274008936656,0.9688604562127181,0.9688836409380424
8,0.020800568266441683,0.9927372306226931,0.992721444140623,0.9927500069767647,0.9927350353723529,0.9927373358744218,0.06053816075460317,0.9783453636868407,0.9785652555032902,0.9781968531718714,0.9783299709961784,0.9783411948331197
9,0.02604356267212516,0.991903798071199,0.9919054208600313,0.9918967713347765,0.9919010397966079,0.991903762480559,0.08649570159441183,0.9783453636868407,0.9785652555032902,0.9781968531718714,0.9783299709961784,0.9783411948331197
10,0.021657416670612047,0.9926181688296226,0.9926157184354713,0.9926157184354713,0.9926157184354713,0.9926181688296226,0.07734769143745426,0.974458634092171,0.9744089244089245,0.9745353407501165,0.9744528923744138,0.9744603353418769
