epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1
1,0.16140369123045512,0.9398737944993452,0.9398841680136205,0.9398212915886082,0.9398497286611893,0.9398716457637954,0.0800978819990783,0.968906163242643,0.9693153994964756,0.968678524637488,0.9688771378915353,0.968895608569513
2,0.06795695588439091,0.9757113942135969,0.9757415850146511,0.9756686179675629,0.9757015564427471,0.9757104628270075,0.06840300899209086,0.974458634092171,0.9749462525020387,0.9742115041562114,0.9744330245602947,0.9744487497114468
3,0.051157512985137064,0.981664483867127,0.9816473189293982,0.9816714150262951,0.9816588655570906,0.981664713185904,0.09696341383755618,0.963353692393115,0.9635300139370244,0.9636420945627527,0.963353138781188,0.9633559068408225
4,0.036903144961986115,0.9879747588998691,0.9879728600345529,0.9879685975250749,0.9879707147606084,0.9879747326392245,0.148527851603847,0.9611327040533038,0.9622898665544304,0.9607078266061678,0.9610687428356852,0.9610994091728995
5,0.0427877486614042,0.9863078937968806,0.9863142924920181,0.9862925006925716,0.9863030466856396,0.9863077404072845,0.06126340044302123,0.9811215991116047,0.9811368010659823,0.9810928775687953,0.9811136278958446,0.9811211682350771
6,0.03514441017686087,0.9890463150375045,0.9890469390239323,0.9890383397614104,0.9890425832542342,0.9890462668854622,0.15001043063795602,0.9616879511382566,0.9630107569494153,0.9612308998092757,0.9616196057538625,0.9616510806019387
7,0.031912976507777094,0.9890463150375045,0.9890386409721927,0.9890470181761172,0.9890427734386078,0.9890463619460992,0.07041328888181977,0.9794558578567463,0.9796287563820227,0.9793293560031285,0.9794424469031942,0.9794526508895924
8,0.010303240927046433,0.9965472080009525,0.9965482296616739,0.9965438922451728,0.9965460468124518,0.9965472004607674,0.07075521993413332,0.9800111049416991,0.9799805891812432,0.9801546766938813,0.98000838688193,0.9800129169815451
9,0.03542041828828941,0.9898797475889987,0.989902652258797,0.989852522537219,0.9898758875695486,0.989879488685255,0.08404557249446476,0.9739033870072182,0.9742271924516185,0.9737100200593638,0.9738816136396806,0.973896268790908
10,0.018286045155204256,0.9934516013811168,0.9934707113314867,0.9934299012112798,0.9934491642910797,0.9934514659872258,0.1126005881039525,0.9711271515824542,0.9724329304081012,0.970684461024878,0.971076993776359,0.9711004007525367
